#################################################################################	#################################################################################
absolutist	nirafkuSawAvAxI/svecCAcAriwAvAxI/nirafkuSa/nirafkuSawAvAxI/svecCAcAriwAvAxI/parama_wawvavAxI
absolved	kRamA_karanA/xoRamukwa
absolve	mukwa_kara/xoRamukwa_kara/mukwwa_kara/barI_kara/vimukwa_kara/kRamA_kara
absolver	mukwixAwA/kRamAxAwA
absolves	kRamA_karanA
absolving	kRamA_karanA
absorbate	avaSoRya_paxArWa
absorbeder	soKA_huA
absorbedest	soKA_huA
absorbed	lIna/wallIna/soKA-huA/dUbA/soKA_huA
absorbency	avaSoRakawA
absorbent	avaSoRaka/avaSoRI/avaSoRaka_paxArWa
absorber	avaSoRI/avaSoRaka
absorbinger	xilacaspa
absorbingest	xilacaspa
absorbingly	xilacaspa_rUpa_se
absorbing	xilacaspa
absorbs	grahaNa_karanA
absorb	soKa/XyAna_magna_kara/wallIna_kara/soMKa/soKa_le/samAhiwa_kara/nigala/le/KIMca_le/KapA/kama_kara/AwmasAwa_kara/avaSoRaNa_kara/apanA/grahaNa_kara
absorptance	avaSoRaNa_xara
absorption	avaSoRiwa_karanA/wanmayawA/wallInawA/samAveSa/AwmasAwkaraNa/avaSoRaNa/anyamanaskawA/anyaciwwawA
absorptive	avaSoRaka
absorptivity	avaSoRakawA
abstained	se_xUra_rahanA
abstainer	se_xUra_rahane_vAlA/xUra_rahane_vAlA/saMnyAsI/parahejI/maxya-wyAgI
abstainers	se_xUra_rahane_vAlA
abstaining	se_xUra_rahanA
abstain	paraheja_kara/xUra_raha/mawaxAna_meM_BAga_nahIM_le/se_xUra_raha
abstains	se_xUra_rahanA
abstemiouser	saMyamI
abstemiousest	saMyamI
abstemiously	saMyamI_rUpa_se
abstemiousness	saMyamiwA/miwAhAriwA
abstemious	saMyamI
abstentions	watasWawA
abstention	watasWawA/paraheja/mawaxAna_nahIM_karanA
abstentious	saMyamI
abstinence	paraheja
abstinences	paraheja
abstinent	saMyamI/saMyamI/maxya-wyAgI
abstracted	anyamanaska/nikAlA_gayA/KoyA-KoyA
abstracteder	anyamanaska
abstractedest	anyamanaska
abstractedly	anamane_BAva_se
abstractedness	SUnyamanaskawA/anyamanaskawA
abstracter	amUrwa/safkRepakarwA/safkRepakAra
abstractest	amUrwa
abstracting	amUrwa
abstracting_noun	sArAMSana/amUrwakaraNa/sArAharaNa
abstractionism	ayaWArWavAxa/amUrwavAxa
abstractionist	ayaWArWavAxI/amUrwavAxI
abstraction	pqWak_karaNa/SUnyamanaskawA/safkRepaNa/pqWakkaraNa/nikAlanA/KayAla/kalpanA/anyamanaskawA/amUrwawA/amUrwikaraNa
abstractions	anyamanaskawA
abstractly	amUrwa_rUpa_se/anamane_BAva_se
abstract_noun	sArAMSa/amUrwa
abstractor	sArakarwA/safkRepakarwA/safkRepakAra
abstract	sAmAnya/nirAkAra/kAlpanika/gUDa/BAvavAcaka/amUrwa/{kalA_sambanXI}amUrwa/sArAMSa/KayAla/kalpanA/amUrwa_vicAra/amUrwa_ciwra/BAva/sArAMSa_liKa/safkRipwa_kara/safkRipwa_banA/nikAla_xe/nikAla/hatA_le/safkRepa_kara
abstracts	amUrwa
abstruse	jatila/kaTina/gUDa/gahana
abstrusely	jatila
abstruseness	jatilawA/gaharAI/gahanawA/aspaRtawA
abstruser	kaTina
abstrusest	kaTina
abstrusity	gaharAI/gahanawA
absurder	buxXirUxXa
absurdest	buxXirUxXa
absurdities	anarWakawA
absurdity	anarWakawA/bewukApana/bevakUPI/asafgawi
absurdly	nirarWaka/bewuke_rUpa_se
absurdness	anarWakawA/bewukApana/asafgawia
absurdnesses	anarWakawA
absurd	nirarWaka/hAsyAspaxa/bewukA/beDafgA/asafgawa/mUrKa/buxXirUxXa/visafgawi
absymally	bahuwa_hI_Baxxe_Dafga_se/bahuwa_hI
Abuja	abUjA
Abukir	abUkIra
abulia	safkalpa-akRamawA/icCAxOrbalya
abulic	safkalpa-akRamawAgraswa/icCAxOrbalyagraswa
abundance	aXikawA/pracurawA/bahulawA/apAra
abundances	apAra
abundant	bahuwa_sArA/pracura/bahuwa/Dera
abundanter	Dera
abundantest	Dera
abundantly	bahuwa_sArA/pracurawApUrvaka/aXika_mAwrA_meM
abused	apaSabxa/xurvyavahAriwa/prawAdiwa/apaprayukwa
abuser	xuoVpayogakarwA/xurvyavahArI/xurvacanavakwA/xurupayogakarwA/xurupayoga_karane_vAlA/gAlI_xene_vAlA
abuses	apaSabxa
abuse	xurvyavahAra/xurvacana/xurupayoga/gAlI/apaprayoga/apaSabxa/aXika_xurupayoga/xurvyavahAra_kara/xurvacana_kaha/xurupayoga_kara/gAlI_xe/barabAxa_kara/apaprayoga_kara
abusing	apaSabxa
abusively	niMxaka_kuwsAvAxI_rUpa_se/galawa_warIke_se/galawa_Dafga_se/apamAnajanaka_Dafga_se/anuciwa_Dafga_se
abusive	niMxaka_kuwsAvAxI/yOna-uwpIdana_sambanXI/xurvyavahArapUrNa/prawAdanApUrNa/galawa/awyAcArapUrNa/apaSabxapUrNa/apamAnajanaka/anuciwa
abusiver	niMxaka_kuwsAvAxI
abusivest	niMxaka_kuwsAvAxI
abutment	pIlapAyA/joda/AXAra
abut	mila/satA_ho/lagA_huA_ho
abuts	milanA
abutted	milanA
abutter	saMsakwa_svAmI
abutting	milanA/lagA_huA/judA_huA
ab	uxara_mAMsapeSI
abuzz	gUzjawA_huA/guFjAyamAna
abvolt	Ebavolta
Abydos	abAidOsa
abye	prAyaSciwa_kara/kRawipUrwi_kara
aby	prAyaSciwa_kara/kRawipUrwi_kara
abysmal	bahuwa_KarAba/bahuwa_hI_KarAba/aWAha/agAXa
abysmaler	bahuwa_KarAba
abysmalest	bahuwa_KarAba
abysmally	bahuwa_KarAba_rUpa_se/bekAra_Dafga_se/bahuwa_hI_BaxxA
abysm	rasAwala/agAXa_garwa
abyssal	aWAha
abysses	gaharA_kuNda
abyss	gaharA_kuNda/rasAwala/narka
Abyssinia	abisIniyA
Abyssinian	abisIniyAI
acacia	pIle_evaM_saPexa_PUla_vAlA_peda/kIkara/babUla/akeSiyA
acacias	pIle_evaM_saPexa_PUla_vAlA_peda
academe	SEyaYkRaka_viSva/SikRA-jagawa/SEkRika_viSva
academia	SikRA_yA_SoXa_kA_kRewra/SikRA-jagawa/SEkRika_viSva
academias	SikRA_yA_SoXa_kA_kRewra
academically	SEkRika_rUpa_se/SEkRaNika_xqRti_se
academicer	sExXAnwika
academicest	sExXAnwika
academicianship	akAxamI_saxasyawA
academician	SikRA_pariRaxa_kA_saxasya/SikRaka/akAxamI_saxasya
academicians	SikRA_pariRaxa_kA_saxasya
academicism	sExXAnwika_SikRAvAxa/SAswrIyawA/SAswrIya_rUDivAxiwA
academic	SEkRika/vixvAna/sExXAnwika/paNdiwAU/avyAvahArika/akAxamI_kA/akAxamika/SikRaka/ucca_SreNI_kA_SikRaka
academics	sExXAnwika
academies	SikRA_yA_SoXa_saMsWAna
academism	sExXAnwika_SikRAvAxa/SAswrIyawA/SAswrIya_rUDivAxiwA
academy	SikRA_yA_SoXa_saMsWAna/vixyAlaya/praSikRaNa_SAlA/akAxamI
Acadia	akediyA
Acadian	akediyAI/akediyAI
acantha	gAzTa
acanthocyte	kAztexAra_lAla_rakwa-koSikA
acanthocytosis	akeMWosAitosisa
acanthoid	kAzte_ke_AkAra_kA
acantholysis	akeMWolAisisa
acanthoma	wvacA-arbuxa
acanthosis	JunaJunAhata/akeMWosisa
acanthotic	akeMWosisagraswa
acanthous	kAzte_ke_AkAra_kA
acapnia	akEpniyA
acapnial	akEpniyA-sambanXI
acapnic	akEpniyA-sambanXI
acapnotic	akEpniyA-sambanXI
Acapulco	akEpulko
acaracide	kutakInASaka
acardiac	hqxayahIna/ahqxaya
acardia	hqxayahInawA/ahqxayawA
acariasis	kutakI_roga
acaricide	kutakInASaka
acaridiasis	kutakI_roga
acariosis	kutakI_roga
acarophobia	kItaBIwi
acarpellous	aNdapahIna
acarpelous	aNdapahIna
acarpous	PalahIna
ACAS	EkAsa
acatalectic	pUrNapaxI/pUrNAkRarI/pUrNapaxI/pUrNAkRarI
acataphasia	vAkyaracanA-akRamawA/asambaxXavAk
acathexia	XAraNa-akRamawA
acathexis	akEWeksisa
acaudal	pUzCarahiwa/pucCavihIna
acaudate	pUzCarahiwa/pucCavihIna
acaulescent	wanArahiwa
acceded	svIkAra_karanA
accedes	svIkAra_karanA
accede	svIkAra_kara/paxa_grahaNa_kara/mAna_le/kAryaBAra_grahaNa_kara/Juka_jA
acceding	svIkAra_karanA
accelerando	uwwarowwarawvariwa/layavarXana_ke_sAWa/layavarXana
accelerated	cAla_baDAnA/wvariwa/xruwa_gawi_se_kiyA_huA
accelerates	cAla_baDAnA
accelerate	wvariwa_ho/cAla_baDA/wejI_se_baDA/weja_kara/weja_ho/gawi_baDA
accelerating	cAla_baDAnA/wvaraNaSIla
accelerations	wvaraNa
acceleration	weja/wvaraNa/gawi_varXana/baDowarI
accelerative	wvarAyika
accelerator	gawivarXaka/wvariwra/wvaraka/uwpreraka/uparoXaka/gawija-UrjAvarXaka/eksilaretara
accelerators	gawivarXaka
acceleratory	wvarAyika
accelerometers	wvaraNamApI
accelerometer	wvaraNamApI/wvarAmApI
accented	svara_uccAraNa_karanA/svarAGAwiwa/balAGAwiwa/balAGAwayukwa
accenting	svara_uccAraNa_karanA/jora
accent_noun	uccAraNa_cihna
accentor	ekseMtara
accents	svara_uccAraNa_karanA
accent	svara_kA_caDAva_uwAra/viSeRa_mahawwva/uccAraNa_viSiRtawA/uccAraNa/svarAGAwa/lahajA/jora/balAGAwa-cinha/svarAGAwapUrvaka_uccAraNa_kara/svarAGAwa_kara/mahawwva_xe/jora_xe/svara_uccAraNa_kara
accentual	svarAGAwIya/svarAGAwiwa/balAGAwIya/balAGAwiwa
accentuate	jora_xe/jora_xa/aXika_suspaRta_kara
accentuates	jora_xenA
accentuation	svarAfkana/svarAGAwa/jora
acceptability	svIkAryawA/grAhyawA
